,name,institution,course_id
0,Machine Learning,Stanford University,machine-learning
1,Indigenous Canada,University of Alberta,indigenous-canada
2,The Science of Well-Being,Yale University,the-science-of-well-being
3,Technical Support Fundamentals,Google,technical-support-fundamentals
4,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,google-cbrs-cpi-training
5,Financial Markets,Yale University,financial-markets-global
6,Introduction to Psychology,Yale University,introduction-psychology
7,Programming for Everybody (Getting Started with Python),University of Michigan,python
8,The Bits and Bytes of Computer Networking,Google,computer-networking
9,AI For Everyone,DeepLearning.AI,ai-for-everyone
10,Crash Course on Python,Google,python-crash-course
11,Psychological First Aid,Johns Hopkins University,psychological-first-aid
12,Neural Networks and Deep Learning,DeepLearning.AI,neural-networks-deep-learning
13,What is Data Science?,IBM,what-is-datascience
14,Successful Negotiation: Essential Strategies and Skills,University of Michigan,negotiation-skills
15,Fundamentals of Project Planning and Management,University of Virginia,uva-darden-project-management
16,Project Launch,"University of California, Irvine",project-management
17,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,brand
18,Writing in the Sciences,Stanford University,sciwrite
19,Stanford Introduction to Food and Health,Stanford University,food-and-health
20,"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,html-css-javascript-for-web-developers
21,Excel Skills for Business: Essentials,Macquarie University,excel-essentials
22,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Yale University,negotiation
23,"Everyday Excel, Part 1",University of Colorado Boulder,everyday-excel-part-1
24,Learning How to Learn: Powerful mental tools to help you master tough subjects,University of California San Diego,learning-how-to-learn
25,Google Cloud Platform Fundamentals: Core Infrastructure,Google Cloud,gcp-fundamentals
26,Viral Marketing and How to Craft Contagious Content,University of Pennsylvania,wharton-contagious-viral-marketing
27,Python Data Structures,University of Michigan,python-data
28,Private Equity and Venture Capital,Università Bocconi,private-equity
29,First Step Korean,Yonsei University,learn-korean
30,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,introduction-tensorflow
31,Operating Systems and You: Becoming a Power User,Google,os-power-user
32,Tools for Data Science,IBM,open-source-tools-for-data-science
33,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,deep-neural-network
34,Diversity and inclusion in the workplace,ESSEC Business School,diversity-inclusion-workplace
35,Design and Interpretation of Clinical Trials,Johns Hopkins University,clinical-trials
36,Visual Elements of User Interface Design,California Institute of the Arts,visual-elements-user-interface-design
37,Management of Fashion and Luxury Companies,Università Bocconi,mafash
38,Primeros Auxilios Psicológicos (PAP),Universitat Autònoma de Barcelona,pap
39,Social Psychology,Wesleyan University,social-psychology
40,Initiating and Planning Projects,"University of California, Irvine",project-planning
41,Computational Thinking for Problem Solving,University of Pennsylvania,computational-thinking-problem-solving
42,Agile with Atlassian Jira,Atlassian,agile-atlassian-jira
43,Fundamentals of Graphic Design,California Institute of the Arts,fundamentals-of-graphic-design
44,Introduction to User Experience Design,Georgia Institute of Technology,user-experience-design
45,Introduction to Marketing,University of Pennsylvania,wharton-marketing
46,Python for Data Science and AI,IBM,python-for-applied-data-science-ai
47,Marketing Analytics,University of Virginia,uva-darden-market-analytics
48,Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,classification-vector-spaces-in-nlp
49,Fundamentals of Quantitative Modeling,University of Pennsylvania,wharton-quantitative-modeling
50,How to Manage a Remote Team,GitLab,remote-team-management
51,Mathematics for Machine Learning: Linear Algebra,Imperial College London,linear-algebra-machine-learning
52,Introduction to Data Science in Python,University of Michigan,python-data-analysis
53,Customer Analytics,University of Pennsylvania,wharton-customer-analytics
54,Introduction to Psychology,University of Toronto,introduction-psych
55,English for Career Development,University of Pennsylvania,careerdevelopment
56,Global Diplomacy – Diplomacy in the Modern World,University of London,global-diplomacy
57,Game Theory,Stanford University,game-theory-1
58,SQL for Data Science,"University of California, Davis",sql-for-data-science
59,Write Professional Emails in English,Georgia Institute of Technology,professional-emails-english
60,Medical Neuroscience,Duke University,medical-neuroscience
61,System Administration and IT Infrastructure Services,Google,system-administration-it-infrastructure-services
62,International Women's Health and Human Rights,Stanford University,womens-health-human-rights
63,Child Nutrition and Cooking,Stanford University,childnutrition
64,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,neurobiology
65,Introduction to Social Media Marketing,Facebook,social-media-marketing-introduction
66,Forensic Accounting and Fraud Examination,West Virginia University,forensic-accounting
67,Clinical Terminology for International and U.S. Students,University of Pittsburgh,clinical-terminology
68,Science of Exercise,University of Colorado Boulder,science-exercise
69,Digital Product Management: Modern Fundamentals,University of Virginia,uva-darden-digital-product-management
70,Data Science Math Skills,Duke University,datasciencemathskills
71,Structuring Machine Learning Projects,DeepLearning.AI,machine-learning-projects
72,An Introduction to American Law,University of Pennsylvania,american-law
73,The Strategy of Content Marketing,"University of California, Davis",content-marketing
74,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,introduction-cybersecurity-cyber-attacks
75,The Data Scientist’s Toolbox,Johns Hopkins University,data-scientists-tools
76,Animal Behaviour and Welfare,The University of Edinburgh,animal-welfare
77,Convolutional Neural Networks in TensorFlow,DeepLearning.AI,convolutional-neural-networks-tensorflow
78,Positive Psychology: Martin E. P. Seligman’s Visionary Science,University of Pennsylvania,positive-psychology-visionary-science
79,Introduction to the Biology of Cancer,Johns Hopkins University,cancer
80,Convolutional Neural Networks,DeepLearning.AI,convolutional-neural-networks
81,Using Python to Access Web Data,University of Michigan,python-network-data
82,Introductory Human Physiology,Duke University,physiology
83,Introduction to Systematic Review and Meta-Analysis,Johns Hopkins University,systematic-review
84,Organizational Analysis,Stanford University,organizational-analysis
85,Communication Strategies for a Virtual Age,University of Toronto,communication-strategies-virtual-age
86,Moral Foundations of Politics,Yale University,moral-politics
87,Étudier en France: French Intermediate course B1-B2,École Polytechnique,etudier-en-france
88,Managing the Company of the Future,London Business School,company-future-management
89,Finance for Non-Finance Professionals,Rice University,finance-for-non-finance
90,Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,site-reliability-engineering-slos
91,Autism Spectrum Disorder,"University of California, Davis",autism-spectrum-disorder
92,Data Science Methodology,IBM,data-science-methodology
93,Introduction to Financial Accounting,University of Pennsylvania,wharton-accounting
94,Marketing in a Digital World,University of Illinois at Urbana-Champaign,marketing-digital
95,Wind Energy,Technical University of Denmark (DTU),wind-energy
96,Principles of Sustainable Finance,Erasmus University Rotterdam,sustainable-finance
97,Financial Engineering and Risk Management Part I,Columbia University,financial-engineering-1
98,Introduction to Philosophy,The University of Edinburgh,philosophy
99,Business Metrics for Data-Driven Companies,Duke University,analytics-business-metrics
100,Python Basics,University of Michigan,python-basics
101,Introduction to Sustainability,University of Illinois at Urbana-Champaign,sustainability
102,Positive Psychiatry and Mental Health,The University of Sydney,positive-psychiatry
103,Cryptography I,Stanford University,crypto
104,Learning to Teach Online,UNSW Sydney (The University of New South Wales),teach-online
105,IT Security: Defense against the digital dark arts,Google,it-security
106,Entreprise et changement climatique,ESSEC Business School,entreprise-changement-climatique
107,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,neuromarketing
108,Gamification,University of Pennsylvania,gamification
109,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,algorithms-divide-conquer
110,Contabilidad para no contadores,Universidad Nacional Autónoma de México,contabilidad
111,Using Python to Interact with the Operating System,Google,python-operating-system
112,Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,cs-fundamentals-1
113,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,gcp-big-data-ml-fundamentals
114,Databases and SQL for Data Science,IBM,sql-data-science
115,Natural Language Processing in TensorFlow,DeepLearning.AI,natural-language-processing-tensorflow
116,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,advanced-valuation-and-strategy
