,course_type,Level,subject,language,price,enrolled
0,Self-paced on your time,Introductory,Education & Teacher Training,English,FREE-Add a Verified Certificate for $49 USD,124980
1,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $49 USD,293864
2,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $90 USD,2442271
3,Instructor-led on a course schedule,Intermediate,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $199 USD,129555
4,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $249 USD,81140
5,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $199 USD,301793
6,Self-paced on your time,Intermediate,Communication,English,FREE-Add a Verified Certificate for $5 USD,32847
7,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $199 USD,67073
8,Self-paced on your time,Introductory,Health & Safety,English,FREE-Add a Verified Certificate for $49 USD,23061
9,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $99 USD,92411
10,Self-paced on your time,Introductory,Math,English,FREE-Add a Verified Certificate for $49 USD,66835
11,Self-paced on your time,Introductory,Communication,English,FREE-Add a Verified Certificate for $49 USD,44711
12,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $99 USD,83398
14,Self-paced on your time,Intermediate,Ethics,English,FREE-Add a Verified Certificate for $49 USD,6366
15,Self-paced on your time,Introductory,Economics & Finance,English,FREE-Add a Verified Certificate for $199 USD,72767
16,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $49 USD,528782
17,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $39 USD,228809
18,Self-paced on your time,Introductory,Food & Nutrition,English,FREE-Add a Verified Certificate for $49 USD,39085
19,Instructor-led on a course schedule,Advanced,Business & Management,English,FREE-Add a Verified Certificate for $399 USD,103640
20,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $199 USD,258006
21,Self-paced on your time,Intermediate,Computer Science,English,FREE-Add a Verified Certificate for $149 USD,346748
22,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $99 USD,320225
23,Self-paced on your time,Intermediate,Computer Science,English,FREE-Add a Verified Certificate for $90 USD,698950
24,Self-paced on your time,Intermediate,Business & Management,English,FREE-Add a Verified Certificate for $125 USD,414181
25,Self-paced on your time,Introductory,Biology & Life Sciences,English,FREE-Add a Verified Certificate for $99 USD,380167
26,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $99 USD,392588
27,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $49 USD,276209
28,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $99 USD,212453
29,Self-paced on your time,Introductory,Communication,English,FREE-Add a Verified Certificate for $99 USD,1103777
30,Self-paced on your time,Introductory,Architecture,English,FREE-Add a Verified Certificate for $99 USD,406181
31,Self-paced on your time,Introductory,Communication,English,FREE-Add a Verified Certificate for $49 USD,1022489
32,Self-paced on your time,Intermediate,Medicine,English,FREE-Add a Verified Certificate for $199 USD,257600
33,Self-paced on your time,Intermediate,Computer Science,English,FREE-Add a Verified Certificate for $99 USD,262183
34,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $99 USD,140782
35,Self-paced on your time,Introductory,Communication,English,FREE-Add a Verified Certificate for $40 USD,400169
36,Self-paced on your time,Introductory,Environmental Studies,English,FREE-Add a Verified Certificate for $99 USD,110024
37,Self-paced on your time,Introductory,Business & Management,Español,FREE-Add a Verified Certificate for $49 USD,79671
38,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $249 USD,314586
39,Self-paced on your time,Introductory,Chemistry,English,FREE-Add a Verified Certificate for $199 USD,145011
40,Self-paced on your time,Introductory,Art & Culture,English,FREE-Add a Verified Certificate for $99 USD,123870
41,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $25 USD,91566
42,Self-paced on your time,Introductory,Computer Science,Español,FREE-Add a Verified Certificate for $50 USD,284279
43,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $49 USD,91983
44,Self-paced on your time,Intermediate,Social Sciences,English,FREE-Add a Verified Certificate for $99 USD,127353
45,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $99 USD,87336
46,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $49 USD,171258
47,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $99 USD,125051
48,Self-paced on your time,Introductory,Social Sciences,English,FREE-Add a Verified Certificate for $169 USD,475614
49,Self-paced on your time,Introductory,Communication,English,FREE-Add a Verified Certificate for $99 USD,231131
50,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $99 USD,57814
51,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $49 USD,135859
52,Self-paced on your time,Intermediate,Education & Teacher Training,English,FREE-Add a Verified Certificate for $70 USD,117410
53,Self-paced on your time,Introductory,Medicine,English,FREE-Add a Verified Certificate for $99 USD,80082
54,Self-paced on your time,Introductory,Education & Teacher Training,English,FREE-Add a Verified Certificate for $70 USD,105146
55,Self-paced on your time,Introductory,Language,Italiano,FREE-Add a Verified Certificate for $49 USD,182462
56,Self-paced on your time,Introductory,Language,English,FREE-Add a Verified Certificate for $49 USD,53630
57,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $49 USD,306787
58,Self-paced on your time,Introductory,Environmental Studies,English,FREE-Add a Verified Certificate for $99 USD,95324
59,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $99 USD,97291
60,Self-paced on your time,Intermediate,Medicine,English,FREE-Add a Verified Certificate for $99 USD,102075
61,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $49 USD,88256
62,Self-paced on your time,Introductory,Health & Safety,English,FREE-Add a Verified Certificate for $79 USD,58626
63,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $99 USD,182295
64,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $199 USD,642088
65,Self-paced on your time,Introductory,Medicine,English,FREE-Add a Verified Certificate for $99 USD,81221
66,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $49 USD,48938
67,Self-paced on your time,Introductory,Communication,Español,FREE-Add a Verified Certificate for $49 USD,112623
68,Self-paced on your time,Intermediate,Business & Management,English,FREE-Add a Verified Certificate for $150 USD,88243
69,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $99 USD,141966
70,Self-paced on your time,Intermediate,Food & Nutrition,English,FREE-Add a Verified Certificate for $49 USD,51679
71,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $69 USD,104760
72,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $49 USD,74060
73,Self-paced on your time,Introductory,Humanities,English,FREE-Add a Verified Certificate for $49 USD,61139
74,Self-paced on your time,Introductory,Communication,English,FREE-Add a Verified Certificate for $49 USD,322701
75,Self-paced on your time,Introductory,Data Analysis & Statistics,English,FREE-Add a Verified Certificate for $99 USD,62803
76,Self-paced on your time,Introductory,Computer Science,English,FREE-Add a Verified Certificate for $200 USD,37045
77,Self-paced on your time,Introductory,Biology & Life Sciences,English,FREE-Add a Verified Certificate for $99 USD,84874
78,Self-paced on your time,Introductory,Business & Management,English,FREE-Add a Verified Certificate for $49 USD,31369
