,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year
0,True,200,2147,23,51,All Levels,1.5,2017-01-18T20:58:58Z,Business Finance,2017
1,True,75,2792,923,274,All Levels,39.0,2017-03-09T16:34:20Z,Business Finance,2017
2,True,45,2174,74,51,Intermediate Level,2.5,2016-12-19T19:26:30Z,Business Finance,2016
3,True,95,2451,11,36,All Levels,3.0,2017-05-30T20:07:24Z,Business Finance,2017
4,True,200,1276,45,26,Intermediate Level,2.0,2016-12-13T14:57:18Z,Business Finance,2016
5,True,150,9221,138,25,All Levels,3.0,2014-05-02T15:13:30Z,Business Finance,2014
6,True,65,1540,178,26,Beginner Level,1.0,2016-02-21T18:23:12Z,Business Finance,2016
7,True,95,2917,148,23,All Levels,2.5,2015-01-30T22:13:03Z,Business Finance,2015
8,True,195,5172,34,38,Expert Level,2.5,2015-05-28T00:14:03Z,Business Finance,2015
9,True,200,827,14,15,All Levels,1.0,2017-04-18T18:13:32Z,Business Finance,2017
10,True,200,4284,93,76,All Levels,5.0,2015-09-11T16:47:02Z,Business Finance,2015
11,True,200,1380,42,17,All Levels,1.0,2016-10-18T22:52:31Z,Business Finance,2016
12,True,30,3607,21,19,All Levels,1.5,2016-02-03T18:04:01Z,Business Finance,2016
13,True,195,4061,52,16,All Levels,2.0,2016-03-16T15:40:19Z,Business Finance,2016
14,True,200,294,19,42,All Levels,7.0,2017-04-28T16:41:44Z,Business Finance,2017
15,True,75,2276,106,19,Intermediate Level,1.5,2015-06-22T21:18:35Z,Business Finance,2015
16,True,20,4919,79,16,Beginner Level,1.5,2016-01-08T17:21:26Z,Business Finance,2016
17,True,200,2666,115,52,All Levels,4.0,2015-08-10T21:07:35Z,Business Finance,2015
18,True,50,5354,24,23,All Levels,1.5,2015-09-21T18:10:34Z,Business Finance,2015
19,True,95,8095,249,12,Beginner Level,0.5833333333333334,2013-06-09T00:21:26Z,Business Finance,2013
20,True,200,809,3,25,All Levels,2.0,2017-06-06T02:54:04Z,Business Finance,2017
21,True,200,2295,84,39,All Levels,4.0,2016-05-02T19:26:48Z,Business Finance,2016
22,True,75,10149,83,16,All Levels,2.0,2015-05-26T17:25:46Z,Business Finance,2015
23,True,50,1916,38,23,Beginner Level,1.0,2016-12-05T22:14:17Z,Business Finance,2016
24,True,45,2507,333,40,All Levels,2.0,2016-05-30T18:53:46Z,Business Finance,2016
25,True,150,5786,518,50,All Levels,5.0,2015-01-31T15:34:05Z,Business Finance,2015
26,True,200,5334,373,42,All Levels,4.5,2014-11-28T17:49:03Z,Business Finance,2014
27,True,175,4005,237,25,Intermediate Level,2.0,2015-04-12T20:13:47Z,Business Finance,2015
28,True,150,2877,103,81,All Levels,4.5,2016-04-26T22:41:46Z,Business Finance,2016
29,True,140,1026,25,37,Beginner Level,3.0,2017-06-27T22:21:31Z,Business Finance,2017
30,True,95,1165,21,41,Beginner Level,2.5,2017-05-28T23:41:03Z,Business Finance,2017
31,True,200,1843,171,35,All Levels,1.5,2016-10-04T15:20:57Z,Business Finance,2016
32,True,45,8797,449,80,All Levels,6.5,2015-01-09T03:55:15Z,Business Finance,2015
33,True,200,1030,11,22,All Levels,2.0,2017-06-01T05:22:08Z,Business Finance,2017
34,True,200,1041,12,28,All Levels,1.5,2017-06-11T19:02:03Z,Business Finance,2017
35,True,195,7884,118,68,Intermediate Level,10.0,2015-05-19T23:25:41Z,Business Finance,2015
36,True,195,16900,2476,52,Beginner Level,5.5,2014-12-12T23:58:39Z,Business Finance,2014
37,True,200,11441,1118,61,All Levels,4.5,2016-06-28T06:12:23Z,Business Finance,2016
38,True,195,22257,2697,138,All Levels,7.5,2014-11-25T23:00:40Z,Business Finance,2014
39,True,195,8575,809,110,All Levels,5.5,2016-10-10T16:16:26Z,Business Finance,2016
40,True,195,24481,2347,174,All Levels,10.0,2016-01-21T01:38:48Z,Business Finance,2016
41,True,195,3811,278,103,All Levels,6.5,2017-03-30T22:17:09Z,Business Finance,2017
42,True,195,4991,137,79,Beginner Level,11.5,2017-03-29T22:36:05Z,Business Finance,2017
43,True,115,7489,1190,25,Intermediate Level,1.0,2015-10-22T21:54:28Z,Business Finance,2015
44,True,200,20195,1113,227,All Levels,16.0,2014-10-27T22:01:36Z,Business Finance,2014
45,True,150,10042,594,43,All Levels,3.0,2015-10-22T00:03:48Z,Business Finance,2015
46,True,95,367,42,35,All Levels,5.0,2017-06-21T23:18:47Z,Business Finance,2017
47,True,200,10603,872,42,All Levels,5.5,2014-10-12T21:19:11Z,Business Finance,2014
48,True,190,1197,11,46,All Levels,5.0,2017-05-24T23:02:07Z,Business Finance,2017
49,True,150,2893,65,62,All Levels,2.0,2016-08-10T15:27:06Z,Business Finance,2016
50,True,200,1580,12,53,Expert Level,2.0,2017-05-02T21:20:54Z,Business Finance,2017
51,True,95,10605,71,77,All Levels,3.0,2014-10-24T18:13:49Z,Business Finance,2014
52,True,125,2996,200,23,Intermediate Level,2.0,2015-03-09T00:24:38Z,Business Finance,2015
53,True,30,6219,23,20,All Levels,1.0,2017-02-14T04:42:58Z,Business Finance,2017
54,True,200,1113,11,17,All Levels,1.5,2017-04-02T21:46:00Z,Business Finance,2017
55,True,60,8314,83,47,Beginner Level,4.0,2015-01-24T06:31:19Z,Business Finance,2015
56,True,200,5572,123,33,Beginner Level,5.5,2014-03-27T17:58:37Z,Business Finance,2014
57,True,145,1433,169,15,Intermediate Level,1.0,2016-05-09T05:44:33Z,Business Finance,2016
58,True,20,936,6,11,Intermediate Level,1.5,2017-04-11T00:59:50Z,Business Finance,2017
59,True,200,658,2,19,All Levels,1.0,2017-06-02T18:12:45Z,Business Finance,2017
60,True,105,8121,689,40,All Levels,3.5,2016-10-18T00:51:59Z,Business Finance,2016
61,True,60,4187,600,79,Beginner Level,9.0,2016-02-29T18:45:41Z,Business Finance,2016
62,True,155,9445,497,38,All Levels,4.5,2014-02-19T19:04:28Z,Business Finance,2014
63,True,200,3255,340,102,All Levels,8.5,2016-06-20T20:17:12Z,Business Finance,2016
64,True,185,7941,713,40,All Levels,6.5,2014-08-11T08:01:14Z,Business Finance,2014
65,True,150,1680,158,76,All Levels,5.5,2016-11-26T04:09:14Z,Business Finance,2016
66,True,180,10100,985,45,Beginner Level,11.0,2013-02-25T11:36:06Z,Business Finance,2013
67,True,125,5050,461,26,All Levels,1.5,2015-02-10T04:21:40Z,Business Finance,2015
68,True,200,2310,162,26,All Levels,3.5,2016-10-05T17:42:52Z,Business Finance,2016
69,True,185,5528,506,32,All Levels,3.0,2015-02-19T11:31:27Z,Business Finance,2015
70,True,125,6451,237,28,All Levels,5.0,2014-04-16T13:58:31Z,Business Finance,2014
71,True,95,12394,218,30,Beginner Level,2.5,2015-02-20T21:39:41Z,Business Finance,2015
72,True,200,1793,18,15,All Levels,1.0,2017-03-03T21:43:05Z,Business Finance,2017
73,True,20,3223,240,23,All Levels,1.0,2016-03-30T15:29:03Z,Business Finance,2016
74,True,60,16385,273,45,Beginner Level,3.0,2014-09-02T03:53:13Z,Business Finance,2014
75,True,200,1487,16,18,All Levels,2.0,2017-03-08T21:09:41Z,Business Finance,2017
76,True,200,2951,232,60,All Levels,4.0,2016-05-04T05:22:32Z,Business Finance,2016
77,True,120,2697,331,15,All Levels,1.0,2015-08-13T18:58:05Z,Business Finance,2015
78,True,150,3979,40,39,Beginner Level,5.0,2016-11-09T01:45:20Z,Business Finance,2016
79,True,25,3190,244,45,All Levels,4.0,2016-02-03T17:10:31Z,Business Finance,2016
80,True,200,1406,71,54,Expert Level,1.5,2017-01-18T20:55:27Z,Business Finance,2017
81,True,160,4252,225,24,All Levels,2.0,2014-09-19T04:07:58Z,Business Finance,2014
82,True,20,11958,370,134,Beginner Level,11.5,2014-10-02T09:16:55Z,Business Finance,2014
83,True,95,7743,340,33,Beginner Level,1.5,2015-09-10T00:30:48Z,Business Finance,2015
84,True,50,2134,55,5,All Levels,1.0,2016-07-13T18:37:40Z,Business Finance,2016
85,True,200,1214,69,20,All Levels,1.5,2016-10-07T04:58:46Z,Business Finance,2016
86,True,20,3870,53,10,All Levels,1.0,2016-03-21T21:09:49Z,Business Finance,2016
87,True,200,2146,212,49,All Levels,4.5,2015-06-16T22:43:07Z,Business Finance,2015
88,True,195,484,57,19,Beginner Level,1.0,2017-03-14T18:30:55Z,Business Finance,2017
89,True,200,1057,15,14,All Levels,1.5,2017-01-11T20:48:19Z,Business Finance,2017
90,True,20,1754,100,49,Intermediate Level,2.5,2016-06-30T17:06:46Z,Business Finance,2016
91,True,20,1239,5,6,Beginner Level,0.7,2017-05-23T16:07:09Z,Business Finance,2017
92,True,95,2493,276,108,All Levels,9.5,2015-01-31T19:02:09Z,Business Finance,2015
93,True,150,2602,402,57,Beginner Level,5.0,2015-10-28T17:32:56Z,Business Finance,2015
94,True,40,2000,30,9,All Levels,1.0,2015-04-13T20:28:04Z,Business Finance,2015
95,False,0,1514,66,11,Beginner Level,0.55,2017-03-23T22:19:57Z,Business Finance,2017
96,True,20,1361,1,14,Intermediate Level,3.0,2016-10-04T23:38:32Z,Business Finance,2016
97,True,100,61,18,30,Beginner Level,1.5,2017-06-09T17:01:05Z,Business Finance,2017
98,True,75,1513,31,60,All Levels,5.5,2015-08-04T19:16:51Z,Business Finance,2015
99,True,20,1374,19,9,Beginner Level,2.0,2016-01-14T18:58:56Z,Business Finance,2016
100,True,40,2103,15,6,All Levels,1.5,2015-04-12T22:28:45Z,Business Finance,2015
101,True,20,1480,25,25,Beginner Level,1.5,2016-03-21T17:00:37Z,Business Finance,2016
102,True,25,2516,12,20,All Levels,1.5,2015-01-08T13:55:52Z,Business Finance,2015
103,False,0,50855,2698,15,Beginner Level,1.5,2013-12-25T19:53:34Z,Business Finance,2013
104,True,50,1971,13,20,Beginner Level,1.5,2015-12-03T17:08:10Z,Business Finance,2015
105,True,200,837,9,19,All Levels,1.0,2016-10-03T17:32:40Z,Business Finance,2016
106,False,0,17160,620,23,All Levels,1.0,2014-08-29T20:10:38Z,Business Finance,2014
107,True,195,1723,38,24,Beginner Level,1.0,2015-12-14T18:29:57Z,Business Finance,2015
108,False,0,6811,151,51,All Levels,2.0,2016-08-05T17:03:15Z,Business Finance,2016
109,True,20,2060,17,30,All Levels,4.5,2016-01-28T21:43:31Z,Business Finance,2016
110,True,150,2318,19,16,All Levels,5.0,2014-12-31T03:29:21Z,Business Finance,2014
111,True,95,2153,14,13,Beginner Level,1.5,2015-07-27T18:39:51Z,Business Finance,2015
112,False,0,19339,794,9,Beginner Level,2.0,2014-03-31T21:35:06Z,Business Finance,2014
113,True,20,3177,8,8,All Levels,1.0,2015-04-16T17:35:54Z,Business Finance,2015
114,True,150,1535,16,462,All Levels,62.0,2016-06-03T17:42:27Z,Business Finance,2016
115,True,20,1027,29,25,All Levels,1.5,2016-07-18T22:38:56Z,Business Finance,2016
116,True,25,307,8,5,All Levels,0.1333333333333333,2017-05-01T18:50:43Z,Business Finance,2017
117,True,150,2096,48,29,All Levels,0.6833333333333333,2015-08-24T22:16:54Z,Business Finance,2015
118,True,50,1315,48,59,Beginner Level,2.5,2015-11-18T22:40:10Z,Business Finance,2015
119,False,0,29167,1463,8,Intermediate Level,1.5,2014-05-27T16:22:16Z,Business Finance,2014
120,True,50,1056,1,42,All Levels,3.0,2017-02-09T19:33:52Z,Business Finance,2017
121,True,180,2212,194,24,Expert Level,4.5,2013-03-05T18:27:38Z,Business Finance,2013
122,True,50,2946,6,284,All Levels,31.5,2016-05-05T23:07:43Z,Business Finance,2016
123,True,100,271,48,47,All Levels,3.5,2017-02-20T23:45:20Z,Business Finance,2017
124,True,25,3771,10,35,All Levels,2.5,2015-02-13T14:37:18Z,Business Finance,2015
125,True,200,3143,11,39,Intermediate Level,3.0,2015-11-10T22:55:53Z,Business Finance,2015
